0.19,0,0.777777777778
0.2,0.01,0.555555555556
0.21,0.01,0.516666666667
0.22,0.02,0.527777777778
0.23,0.02,0.611111111111
0.24,0.03,0.888888888889
0.25,0.04,1
0.26,0.05,1.11111111111
0.27,0.06,1.38888888889
0.28,0.08,1.47222222222
0.29,0.09,1.52777777778
0.3,0.11,1.61111111111
0.31,0.12,1.86111111111
0.32,0.15,1.88888888889
0.33,0.16,1.83333333333
0.34,0.18,2.30555555556
0.35,0.2,3.19444444444
0.36,0.26,2.72222222222
0.37,0.26,1.80555555556
0.38,0.28,2.30555555556
0.39,0.3,3.30555555556
0.4,0.35,3.97222222222
0.41,0.4,2.83333333333
0.42,0.4,2.22222222222
0.43,0.43,2.91666666667
0.44,0.46,3.72222222222
0.45,0.5,4.94444444444
0.46,0.56,5.86111111111
0.47,0.63,5.5
0.48,0.68,7.16666666667
0.49,0.71,12.1388888889
0.5,0.73,30.3333333333
0.51,1.85,4.25
0.52,0.82,-22.2222222222
0.53,0.87,-4.08333333333
0.54,0.92,1.83333333333
0.55,0.96,5.27777777778
0.56,1.03,5.41666666667
0.57,1.07,5.47222222222
0.58,1.13,6.30555555556
0.59,1.2,6.83333333333
0.6,1.27,7.02777777778
0.61,1.34,7
0.62,1.42,5.86111111111
0.63,1.47,3.5
0.64,1.49,1.97222222222
0.65,1.48,2.5
0.66,1.48,8.69444444444
0.67,1.78,5.55555555556
0.68,1.48,11.1388888889
0.69,1.93,21.4722222222
0.7,2.14,10.3611111111
